BamID,SampleID,Year,Population,Group
ALS18_2_S200.bam,ALS18_2,2019,Alsum18-2019,Alsum1
ALS18_3_S201.bam,ALS18_3,2019,Alsum18-2019,Alsum1
ALS18_5_S202.bam,ALS18_5,2019,Alsum18-2019,Alsum1
ALS18_6_S203.bam,ALS18_6,2019,Alsum18-2019,Alsum1
ALS18_8_S204.bam,ALS18_8,2019,Alsum18-2019,Alsum1
ALS18_9_S205.bam,ALS18_9,2019,Alsum18-2019,Alsum1
ALS18_10_S001.bam,ALS18_10,2019,Alsum18-2019,Alsum1
ALS18_13_S199.bam,ALS18_13,2019,Alsum18-2019,Alsum1
CPB2015_54A_S256.bam,CPB2015_54A,2015,Alsum25-2015,Alsum1
CPB2015_54B_S257.bam,CPB2015_54B,2015,Alsum25-2015,Alsum1
CPB2015_54C_S258.bam,CPB2015_54C,2015,Alsum25-2015,Alsum1
CPB2015_54D_S259.bam,CPB2015_54D,2015,Alsum25-2015,Alsum1
CPB2015_54E_S260.bam,CPB2015_54E,2015,Alsum25-2015,Alsum1
CPB2015_54F_S261.bam,CPB2015_54F,2015,Alsum25-2015,Alsum1
CPB2015_54G_S262.bam,CPB2015_54G,2015,Alsum25-2015,Alsum1
CPB2015_54H_S263.bam,CPB2015_54H,2015,Alsum25-2015,Alsum1
CPB2015_287A_S252.bam,CPB2015_287A,2015,Alsum25-2015,Alsum1
CPB2015_287B_S253.bam,CPB2015_287B,2015,Alsum25-2015,Alsum1
CPB2015_287C_S254.bam,CPB2015_287C,2015,Alsum25-2015,Alsum1
CPB2015_287D_S255.bam,CPB2015_287D,2015,Alsum25-2015,Alsum1
ALS18_2023A_S508.bam,ALS18_2023A,2023,Alsum18-2023,Alsum1
ALS18_2023B_S509.bam,ALS18_2023B,2023,Alsum18-2023,Alsum1
ALS18_2023C_S510.bam,ALS18_2023C,2023,Alsum18-2023,Alsum1
ALS18_2023D_S511.bam,ALS18_2023D,2023,Alsum18-2023,Alsum1
ALS18_2023E_S512.bam,ALS18_2023E,2023,Alsum18-2023,Alsum1
ALS18_2023F_S513.bam,ALS18_2023F,2023,Alsum18-2023,Alsum1
ALS18_2023G_S514.bam,ALS18_2023G,2023,Alsum18-2023,Alsum1
ALS18_2023H_S515.bam,ALS18_2023H,2023,Alsum18-2023,Alsum1
ALS59_1_S206.bam,ALS59_1,2019,Alsum59-2019,Alsum2
ALS59_2_S210.bam,ALS59_2,2019,Alsum59-2019,Alsum2
ALS59_4_S211.bam,ALS59_4,2019,Alsum59-2019,Alsum2
ALS59_8_S212.bam,ALS59_8,2019,Alsum59-2019,Alsum2
ALS59_9_S001.bam,ALS59_9,2019,Alsum59-2019,Alsum2
ALS59_10_S207.bam,ALS59_10,2019,Alsum59-2019,Alsum2
ALS59_12_S208.bam,ALS59_12,2019,Alsum59-2019,Alsum2
ALS59_13_S209.bam,ALS59_13,2019,Alsum59-2019,Alsum2
ALS140_2015215B_S214.bam,ALS140_2015215B,2015,Alsum140-2015,Alsum2
ALS140_2015215C_S215.bam,ALS140_2015215C,2015,Alsum140-2015,Alsum2
ALS140_2015215D_S216.bam,ALS140_2015215D,2015,Alsum140-2015,Alsum2
ALS140_2015215E_S217.bam,ALS140_2015215E,2015,Alsum140-2015,Alsum2
ALS140_2015215F_S218.bam,ALS140_2015215F,2015,Alsum140-2015,Alsum2
ALS140_2015215G_S219.bam,ALS140_2015215G,2015,Alsum140-2015,Alsum2
ALS140_2015215H_S220.bam,ALS140_2015215H,2015,Alsum140-2015,Alsum2
ALS140_2015215L_S221.bam,ALS140_2015215L,2015,Alsum140-2015,Alsum2
SDS23_008A_S696.bam,SDS23_008A,2023,Alsum59-2023,Alsum2
SDS23_008B_S697.bam,SDS23_008B,2023,Alsum59-2023,Alsum2
SDS23_008C_S698.bam,SDS23_008C,2023,Alsum59-2023,Alsum2
SDS23_008D_S699.bam,SDS23_008D,2023,Alsum59-2023,Alsum2
SDS23_008E_S700.bam,SDS23_008E,2023,Alsum59-2023,Alsum2
SDS23_008F_S701.bam,SDS23_008F,2023,Alsum59-2023,Alsum2
SDS23_008G_S702.bam,SDS23_008G,2023,Alsum59-2023,Alsum2
SDS23_008H_S703.bam,SDS23_008H,2023,Alsum59-2023,Alsum2
CPBWGS_39_S39_L004.bam,CPBWGS_39,2015,Arlington-2015,Arlington
CPBWGS_40_S40_L005.bam,CPBWGS_40,2015,Arlington-2015,Arlington
CPBWGS_41_S41_L005.bam,CPBWGS_41,2015,Arlington-2015,Arlington
CPBWGS_42_S42_L005.bam,CPBWGS_42,2015,Arlington-2015,Arlington
CPBWGS_43_S43_L005.bam,CPBWGS_43,2015,Arlington-2015,Arlington
SDS23_011A_S516.bam,SDS23_011A,2023,Arlington-2023,Arlington
SDS23_011B_S517.bam,SDS23_011B,2023,Arlington-2023,Arlington
SDS23_011C_S518.bam,SDS23_011C,2023,Arlington-2023,Arlington
SDS23_011D_S519.bam,SDS23_011D,2023,Arlington-2023,Arlington
SDS23_011E_S520.bam,SDS23_011E,2023,Arlington-2023,Arlington
SDS23_011F_S521.bam,SDS23_011F,2023,Arlington-2023,Arlington
SDS23_011G_S522.bam,SDS23_011G,2023,Arlington-2023,Arlington
SDS23_011H_S523.bam,SDS23_011H,2023,Arlington-2023,Arlington
Arl_2019A_S569.bam,Arl_2019A,2019,Arlington-2019,Arlington
Arl_2019B_S570.bam,Arl_2019B,2019,Arlington-2019,Arlington
Arl_2019C_S571.bam,Arl_2019C,2019,Arlington-2019,Arlington
Arl_2019D_S572.bam,Arl_2019D,2019,Arlington-2019,Arlington
Arl_2019E_S573.bam,Arl_2019E,2019,Arlington-2019,Arlington
Arl_2019F_S574.bam,Arl_2019F,2019,Arlington-2019,Arlington
Arl_2019G_S575.bam,Arl_2019G,2019,Arlington-2019,Arlington
Arl_2019H_S576.bam,Arl_2019H,2019,Arlington-2019,Arlington
Arl_2014Pl1E10_S627.bam,Arl_2014Pl1E10,2015,Arlington2015,Arlington
Arl_2014Pl1E11_S628.bam,Arl_2014Pl1E11,2015,Arlington2015,Arlington
Arl_2014Pl1E12_S629.bam,Arl_2014Pl1E12,2015,Arlington2015,Arlington
C5_2023A_S500.bam,C5_2023A,2023,C5-2023,Coloma1
C5_2023B_S501.bam,C5_2023B,2023,C5-2023,Coloma1
C5_2023C_S502.bam,C5_2023C,2023,C5-2023,Coloma1
C5_2023D_S503.bam,C5_2023D,2023,C5-2023,Coloma1
C5_2023E_S504.bam,C5_2023E,2023,C5-2023,Coloma1
C5_2023F_S505.bam,C5_2023F,2023,C5-2023,Coloma1
C5_2023G_S506.bam,C5_2023G,2023,C5-2023,Coloma1
C5_2023H_S507.bam,C5_2023H,2023,C5-2023,Coloma1
CPB2015_219A_S611.bam,CPB2015_219A,2015,C5-2015,Coloma1
CPB2015_219B_S612.bam,CPB2015_219B,2015,C5-2015,Coloma1
CPB2015_219C_S613.bam,CPB2015_219C,2015,C5-2015,Coloma1
CPB2015_219D_S614.bam,CPB2015_219D,2015,C5-2015,Coloma1
CPB2015_219E_S615.bam,CPB2015_219E,2015,C5-2015,Coloma1
CPB2015_219F_S616.bam,CPB2015_219F,2015,C5-2015,Coloma1
CPB2015_219G_S617.bam,CPB2015_219G,2015,C5-2015,Coloma1
CPB2015_219H_S618.bam,CPB2015_219H,2015,C5-2015,Coloma1
Colbon4_1_S650.bam,Colbon4_1,2019,ColomaBonus4-2019,Coloma1
Colbon4_2_S651.bam,Colbon4_2,2019,ColomaBonus4-2019,Coloma1
Colbon4_3_S652.bam,Colbon4_3,2019,ColomaBonus4-2019,Coloma1
Colbon4_4_S653.bam,Colbon4_4,2019,ColomaBonus4-2019,Coloma1
Colbon4_5_S654.bam,Colbon4_5,2019,ColomaBonus4-2019,Coloma1
Colbon4_6_S655.bam,Colbon4_6,2019,ColomaBonus4-2019,Coloma1
Colbon4_7_S656.bam,Colbon4_7,2019,ColomaBonus4-2019,Coloma1
Colbon4_8_S657.bam,Colbon4_8,2019,ColomaBonus4-2019,Coloma1
Colbon2_9_S279.bam,Colbon2_9,2019,ColomaBonus-2019,Coloma2
Colbon2_11_S272.bam,Colbon2_11,2019,ColomaBonus-2019,Coloma2
Colbon2_12_S273.bam,Colbon2_12,2019,ColomaBonus-2019,Coloma2
Colbon2_14_S274.bam,Colbon2_14,2019,ColomaBonus-2019,Coloma2
Colbon2_16_S275.bam,Colbon2_16,2019,ColomaBonus-2019,Coloma2
Colbon2_18_S276.bam,Colbon2_18,2019,ColomaBonus-2019,Coloma2
Colbon2_21_S277.bam,Colbon2_21,2019,ColomaBonus-2019,Coloma2
Colbon2_24_S278.bam,Colbon2_24,2019,ColomaBonus-2019,Coloma2
SDS23_055A_S462.bam,SDS23_055A,2023,C44-L15-2023,Coloma2
SDS23_055B_S463.bam,SDS23_055B,2023,C44-L15-2023,Coloma2
SDS23_055C_S464.bam,SDS23_055C,2023,C44-L15-2023,Coloma2
SDS23_055D_S465.bam,SDS23_055D,2023,C44-L15-2023,Coloma2
SDS23_055E_S466.bam,SDS23_055E,2023,C44-L15-2023,Coloma2
SDS23_055F_S467.bam,SDS23_055F,2023,C44-L15-2023,Coloma2
SDS23_055G_S468.bam,SDS23_055G,2023,C44-L15-2023,Coloma2
SDS23_055H_S469.bam,SDS23_055H,2023,C44-L15-2023,Coloma2
CPB2015_203A_S536.bam,CPB2015_203A,2015,C44-L15-2015,Coloma2
CPB2015_203B_S537.bam,CPB2015_203B,2015,C44-L15-2015,Coloma2
CPB2015_203C_S538.bam,CPB2015_203C,2015,C44-L15-2015,Coloma2
CPB2015_38A_S718.bam,CPB2015_38A,2015,C44-L15-2015,Coloma2
CPB2015_38B_S719.bam,CPB2015_38B,2015,C44-L15-2015,Coloma2
CPB2015_38C_S720.bam,CPB2015_38C,2015,C44-L15-2015,Coloma2
CPB2015_38D_S721.bam,CPB2015_38D,2015,C44-L15-2015,Coloma2
CPB2015_38E_S722.bam,CPB2015_38E,2015,C44-L15-2015,Coloma2
Collyon_5_S268.bam,Collyon_5,2019,ColomaLyons-2019,Coloma3
Collyon_6_S269.bam,Collyon_6,2019,ColomaLyons-2019,Coloma3
Collyon_7_S270.bam,Collyon_7,2019,ColomaLyons-2019,Coloma3
Collyon_9_S271.bam,Collyon_9,2019,ColomaLyons-2019,Coloma3
Collyon_10_S264.bam,Collyon_10,2019,ColomaLyons-2019,Coloma3
Collyon_11_S265.bam,Collyon_11,2019,ColomaLyons-2019,Coloma3
Collyon_13_S266.bam,Collyon_13,2019,ColomaLyons-2019,Coloma3
Collyon_17_S267.bam,Collyon_17,2019,ColomaLyons-2019,Coloma3
SDS23_052A_S666.bam,SDS23_052A,2023,Aartz-2023,Coloma3
SDS23_052B_S667.bam,SDS23_052B,2023,Aartz-2023,Coloma3
SDS23_052C_S668.bam,SDS23_052C,2023,Aartz-2023,Coloma3
SDS23_052D_S669.bam,SDS23_052D,2023,Aartz-2023,Coloma3
SDS23_052E_S670.bam,SDS23_052E,2023,Aartz-2023,Coloma3
SDS23_052F_S671.bam,SDS23_052F,2023,Aartz-2023,Coloma3
MBXmas_1_S636.bam,MBXmas_1,2019,XMASBig-2019,Group3
MBXmas_2_S637.bam,MBXmas_2,2019,XMASBig-2019,Group3
MBXmas_3_S638.bam,MBXmas_3,2019,XMASBig-2019,Group3
MBXmas_4_S639.bam,MBXmas_4,2019,XMASBig-2019,Group3
MBXmas_5_S640.bam,MBXmas_5,2019,XMASBig-2019,Group3
MBXmas_6_S641.bam,MBXmas_6,2019,XMASBig-2019,Group3
SDS23_040A_S704.bam,SDS23_040A,2023,XMASBig-2023,Group3
SDS23_040B_S705.bam,SDS23_040B,2023,XMASBig-2023,Group3
SDS23_040C_S706.bam,SDS23_040C,2023,XMASBig-2023,Group3
SDS23_040D_S707.bam,SDS23_040D,2023,XMASBig-2023,Group3
SDS23_040E_S708.bam,SDS23_040E,2023,XMASBig-2023,Group3
SDS23_040F_S709.bam,SDS23_040F,2023,XMASBig-2023,Group3
CPB2015_189_S581.bam,CPB2015_189,2015,GarrisonNE-2015,Group5
CPB2015_192_S582.bam,CPB2015_192,2015,GarrisonNE-2015,Group5
CPB2015_199A_S583.bam,CPB2015_199A,2015,GarrisonNE-2015,Group5
CPB2015_199B_S584.bam,CPB2015_199B,2015,GarrisonNE-2015,Group5
CPB2015_199C_S585.bam,CPB2015_199C,2015,GarrisonNE-2015,Group5
CPB2015_199D_S586.bam,CPB2015_199D,2015,GarrisonNE-2015,Group5
CPB2015_259A_S587.bam,CPB2015_259A,2015,GarrisonNE-2015,Group5
CPB2015_259B_S588.bam,CPB2015_259B,2015,GarrisonNE-2015,Group5
OkrGarrissonNE_5_S642.bam,OkrGarrissonNE_5,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_6_S643.bam,OkrGarrissonNE_6,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_7_S644.bam,OkrGarrissonNE_7,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_8_S645.bam,OkrGarrissonNE_8,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_9_S646.bam,OkrGarrissonNE_9,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_10_S647.bam,OkrGarrissonNE_10,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_11_S648.bam,OkrGarrissonNE_11,2019,OkrayGarrisonNE-2019,Group5
OkrGarrissonNE_12_S649.bam,OkrGarrissonNE_12,2019,OkrayGarrisonNE-2019,Group5
SDS23_082A_S680.bam,SDS23_082A,2023,GarrisonNE-2023,Group5
SDS23_082B_S681.bam,SDS23_082B,2023,GarrisonNE-2023,Group5
SDS23_082C_S682.bam,SDS23_082C,2023,GarrisonNE-2023,Group5
SDS23_082D_S683.bam,SDS23_082D,2023,GarrisonNE-2023,Group5
SDS23_082E_S684.bam,SDS23_082E,2023,GarrisonNE-2023,Group5
SDS23_082F_S685.bam,SDS23_082F,2023,GarrisonNE-2023,Group5
SDS23_082G_S686.bam,SDS23_082G,2023,GarrisonNE-2023,Group5
SDS23_082H_S687.bam,SDS23_082H,2023,GarrisonNE-2023,Group5
CPB2015_125A_S605.bam,CPB2015_125A,2015,Mortensen9-2015,Group6
CPB2015_125B_S606.bam,CPB2015_125B,2015,Mortensen9-2015,Group6
CPB2015_125C_S607.bam,CPB2015_125C,2015,Mortensen9-2015,Group6
CPB2015_125D_S608.bam,CPB2015_125D,2015,Mortensen9-2015,Group6
CPB2015_125E_S609.bam,CPB2015_125E,2015,Mortensen9-2015,Group6
CPB2015_125F_S610.bam,CPB2015_125F,2015,Mortensen9-2015,Group6
CPB2015_214A_S235.bam,CPB2015_214A,2015,H10-2015,H10
CPB2015_214B_S236.bam,CPB2015_214B,2015,H10-2015,H10
CPB2015_214C_S237.bam,CPB2015_214C,2015,H10-2015,H10
CPB2015_218A_S238.bam,CPB2015_218A,2015,H10-2015,H10
SDS23_030A_S438.bam,SDS23_030A,2023,H10-2023,H10
SDS23_030B_S439.bam,SDS23_030B,2023,H10-2023,H10
SDS23_030C_S440.bam,SDS23_030C,2023,H10-2023,H10
SDS23_030D_S441.bam,SDS23_030D,2023,H10-2023,H10
SDS23_030E_S442.bam,SDS23_030E,2023,H10-2023,H10
SDS23_030F_S443.bam,SDS23_030F,2023,H10-2023,H10
SDS23_030G_S444.bam,SDS23_030G,2023,H10-2023,H10
SDS23_030H_S445.bam,SDS23_030H,2023,H10-2023,H10
CPB2015_218B_S577.bam,CPB2015_218B,2015,H10-2015,H10
CPB2015_218C_S578.bam,CPB2015_218C,2015,H10-2015,H10
CPB2015_218D_S579.bam,CPB2015_218D,2015,H10-2015,H10
CPB2015_218E_S580.bam,CPB2015_218E,2015,H10-2015,H10
CPB2015_159C_S224.bam,CPB2015_159C,2015,H15-2015,H15
CPB2015_159B_S223.bam,CPB2015_159B,2015,H15-2015,H15
CPB2015_159A_S222.bam,CPB2015_159A,2015,H15-2015,H15
CPB2015_174A_S225.bam,CPB2015_174A,2015,H15-2015,H15
CPB2015_174B_S226.bam,CPB2015_174B,2015,H15-2015,H15
CPB2015_174C_S227.bam,CPB2015_174C,2015,H15-2015,H15
CPB2015_174D_S228.bam,CPB2015_174D,2015,H15-2015,H15
CPB2015_174E_S229.bam,CPB2015_174E,2015,H15-2015,H15
CPB2015_174F_S230.bam,CPB2015_174F,2015,H15-2015,H15
SDS23_032A_S597.bam,SDS23_032A,2023,H15-2023,H15
SDS23_032B_S598.bam,SDS23_032B,2023,H15-2023,H15
SDS23_032C_S599.bam,SDS23_032C,2023,H15-2023,H15
SDS23_032D_S600.bam,SDS23_032D,2023,H15-2023,H15
SDS23_032E_S601.bam,SDS23_032E,2023,H15-2023,H15
SDS23_032F_S602.bam,SDS23_032F,2023,H15-2023,H15
SDS23_032G_S603.bam,SDS23_032G,2023,H15-2023,H15
SDS23_032H_S604.bam,SDS23_032H,2023,H15-2023,H15
CPB2015_209A_S609.bam,CPB2015_209A,2015,H41-2015,H41
CPB2015_209B_S610.bam,CPB2015_209B,2015,H41-2015,H41
CPB2015_461_S001.bam,CPB2015_461,2015,H41-2015,H41
CPB2015_499A_S647.bam,CPB2015_499A,2015,H41-2015,H41
CPB2015_499B_S648.bam,CPB2015_499B,2015,H41-2015,H41
SDS23_033A_S446.bam,SDS23_033A,2023,H41-2023,H41
SDS23_033B_S447.bam,SDS23_033B,2023,H41-2023,H41
SDS23_033C_S448.bam,SDS23_033C,2023,H41-2023,H41
SDS23_033D_S449.bam,SDS23_033D,2023,H41-2023,H41
SDS23_033E_S450.bam,SDS23_033E,2023,H41-2023,H41
SDS23_033F_S451.bam,SDS23_033F,2023,H41-2023,H41
SDS23_033G_S452.bam,SDS23_033G,2023,H41-2023,H41
SDS23_033H_S453.bam,SDS23_033H,2023,H41-2023,H41
CPB2015_22A_S723.bam,CPB2015_22A,2015,H41-2015,H41
CPB2015_22B_S724.bam,CPB2015_22B,2015,H41-2015,H41
CPB2015_22C_S725.bam,CPB2015_22C,2015,H41-2015,H41
CPB2015_348A_S614.bam,CPB2015_348A,2015,H53-2015,H53
CPB2015_348B_S615.bam,CPB2015_348B,2015,H53-2015,H53
CPB2015_348C_S001.bam,CPB2015_348C,2015,H53-2015,H53
CPB2015_348D_S001.bam,CPB2015_348D,2015,H53-2015,H53
CPB2015_348E_S618.bam,CPB2015_348E,2015,H53-2015,H53
CPB2015_348F_S001.bam,CPB2015_348F,2015,H53-2015,H53
CPB2015_417_S631.bam,CPB2015_417,2015,H53-2015,H53
CPB2015_442A_S639.bam,CPB2015_442A,2015,H53-2015,H53
CPB2015_442B_S640.bam,CPB2015_442B,2015,H53-2015,H53
CPB2015_442C_S641.bam,CPB2015_442C,2015,H53-2015,H53
CPB2015_442D_S642.bam,CPB2015_442D,2015,H53-2015,H53
CPB2015_442E_S643.bam,CPB2015_442E,2015,H53-2015,H53
CPB2015_504A_S649.bam,CPB2015_504A,2015,H53-2015,H53
CPB2015_504B_S001.bam,CPB2015_504B,2015,H53-2015,H53
CPB2015_504C_S651.bam,CPB2015_504C,2015,H53-2015,H53
CPBWGS_44_S44_L005.bam,CPBWGS_44,2015,H53-2015,H53
CPBWGS_45_S45_L005.bam,CPBWGS_45,2015,H53-2015,H53
CPBWGS_46_S46_L005.bam,CPBWGS_46,2015,H53-2015,H53
CPBWGS_47_S47_L005.bam,CPBWGS_47,2015,H53-2015,H53
CPBWGS_48_S48_L005.bam,CPBWGS_48,2015,H53-2015,H53
H66_2023A_S524.bam,H66_2023A,2023,H66-2023,H53
H66_2023B_S525.bam,H66_2023B,2023,H66-2023,H53
H66_2023C_S526.bam,H66_2023C,2023,H66-2023,H53
H66_2023D_S527.bam,H66_2023K,2023,H66-2023,H53
H66_2023E_S528.bam,H66_2023E,2023,H66-2023,H53
H66_2023F_S529.bam,H66_2023F,2023,H66-2023,H53
H66_2023G_S530.bam,H66_2023G,2023,H66-2023,H53
H66_2023H_S531.bam,H66_2023H,2023,H66-2023,H53
