BamID,SampleID,Year,Population,Group
BAM_482,SAMPLE_482,2019,POP_206,GROUP_24
BAM_483,SAMPLE_483,2019,POP_206,GROUP_24
BAM_484,SAMPLE_484,2019,POP_206,GROUP_24
BAM_485,SAMPLE_485,2019,POP_206,GROUP_24
BAM_486,SAMPLE_486,2019,POP_206,GROUP_24
BAM_487,SAMPLE_487,2019,POP_206,GROUP_24
BAM_488,SAMPLE_488,2019,POP_206,GROUP_24
BAM_489,SAMPLE_489,2019,POP_206,GROUP_24
BAM_490,SAMPLE_490,2015,POP_207,GROUP_24
BAM_491,SAMPLE_491,2015,POP_207,GROUP_24
BAM_492,SAMPLE_492,2015,POP_207,GROUP_24
BAM_493,SAMPLE_493,2015,POP_207,GROUP_24
BAM_494,SAMPLE_494,2015,POP_207,GROUP_24
BAM_495,SAMPLE_495,2015,POP_207,GROUP_24
BAM_496,SAMPLE_496,2015,POP_207,GROUP_24
BAM_497,SAMPLE_497,2015,POP_207,GROUP_24
BAM_498,SAMPLE_498,2015,POP_207,GROUP_24
BAM_499,SAMPLE_499,2015,POP_207,GROUP_24
BAM_500,SAMPLE_500,2015,POP_207,GROUP_24
BAM_501,SAMPLE_501,2015,POP_207,GROUP_24
BAM_502,SAMPLE_502,2023,POP_208,GROUP_24
BAM_503,SAMPLE_503,2023,POP_208,GROUP_24
BAM_504,SAMPLE_504,2023,POP_208,GROUP_24
BAM_505,SAMPLE_505,2023,POP_208,GROUP_24
BAM_506,SAMPLE_506,2023,POP_208,GROUP_24
BAM_507,SAMPLE_507,2023,POP_208,GROUP_24
BAM_508,SAMPLE_508,2023,POP_208,GROUP_24
BAM_509,SAMPLE_509,2023,POP_208,GROUP_24
BAM_510,SAMPLE_510,2019,POP_209,GROUP_25
BAM_511,SAMPLE_511,2019,POP_209,GROUP_25
BAM_512,SAMPLE_512,2019,POP_209,GROUP_25
BAM_513,SAMPLE_513,2019,POP_209,GROUP_25
BAM_514,SAMPLE_514,2019,POP_209,GROUP_25
BAM_515,SAMPLE_515,2019,POP_209,GROUP_25
BAM_516,SAMPLE_516,2019,POP_209,GROUP_25
BAM_517,SAMPLE_517,2019,POP_209,GROUP_25
BAM_518,SAMPLE_518,2015,POP_210,GROUP_25
BAM_519,SAMPLE_519,2015,POP_210,GROUP_25
BAM_520,SAMPLE_520,2015,POP_210,GROUP_25
BAM_521,SAMPLE_521,2015,POP_210,GROUP_25
BAM_522,SAMPLE_522,2015,POP_210,GROUP_25
BAM_523,SAMPLE_523,2015,POP_210,GROUP_25
BAM_524,SAMPLE_524,2015,POP_210,GROUP_25
BAM_525,SAMPLE_525,2015,POP_210,GROUP_25
BAM_526,SAMPLE_526,2023,POP_211,GROUP_25
BAM_527,SAMPLE_527,2023,POP_211,GROUP_25
BAM_528,SAMPLE_528,2023,POP_211,GROUP_25
BAM_529,SAMPLE_529,2023,POP_211,GROUP_25
BAM_530,SAMPLE_530,2023,POP_211,GROUP_25
BAM_531,SAMPLE_531,2023,POP_211,GROUP_25
BAM_532,SAMPLE_532,2023,POP_211,GROUP_25
BAM_533,SAMPLE_533,2023,POP_211,GROUP_25
BAM_534,SAMPLE_534,2015,POP_212,GROUP_26
BAM_535,SAMPLE_535,2015,POP_212,GROUP_26
BAM_536,SAMPLE_536,2015,POP_212,GROUP_26
BAM_537,SAMPLE_537,2015,POP_212,GROUP_26
BAM_538,SAMPLE_538,2015,POP_212,GROUP_26
BAM_539,SAMPLE_539,2023,POP_213,GROUP_26
BAM_540,SAMPLE_540,2023,POP_213,GROUP_26
BAM_541,SAMPLE_541,2023,POP_213,GROUP_26
BAM_542,SAMPLE_542,2023,POP_213,GROUP_26
BAM_543,SAMPLE_543,2023,POP_213,GROUP_26
BAM_544,SAMPLE_544,2023,POP_213,GROUP_26
BAM_545,SAMPLE_545,2023,POP_213,GROUP_26
BAM_546,SAMPLE_546,2023,POP_213,GROUP_26
BAM_547,SAMPLE_547,2019,POP_214,GROUP_26
BAM_548,SAMPLE_548,2019,POP_214,GROUP_26
BAM_549,SAMPLE_549,2019,POP_214,GROUP_26
BAM_550,SAMPLE_550,2019,POP_214,GROUP_26
BAM_551,SAMPLE_551,2019,POP_214,GROUP_26
BAM_552,SAMPLE_552,2019,POP_214,GROUP_26
BAM_553,SAMPLE_553,2019,POP_214,GROUP_26
BAM_554,SAMPLE_554,2019,POP_214,GROUP_26
BAM_555,SAMPLE_555,2015,POP_215,GROUP_26
BAM_556,SAMPLE_556,2015,POP_215,GROUP_26
BAM_557,SAMPLE_557,2015,POP_215,GROUP_26
BAM_558,SAMPLE_558,2023,POP_216,GROUP_27
BAM_559,SAMPLE_559,2023,POP_216,GROUP_27
BAM_560,SAMPLE_560,2023,POP_216,GROUP_27
BAM_561,SAMPLE_561,2023,POP_216,GROUP_27
BAM_562,SAMPLE_562,2023,POP_216,GROUP_27
BAM_563,SAMPLE_563,2023,POP_216,GROUP_27
BAM_564,SAMPLE_564,2023,POP_216,GROUP_27
BAM_565,SAMPLE_565,2023,POP_216,GROUP_27
BAM_566,SAMPLE_566,2015,POP_217,GROUP_27
BAM_567,SAMPLE_567,2015,POP_217,GROUP_27
BAM_568,SAMPLE_568,2015,POP_217,GROUP_27
BAM_569,SAMPLE_569,2015,POP_217,GROUP_27
BAM_570,SAMPLE_570,2015,POP_217,GROUP_27
BAM_571,SAMPLE_571,2015,POP_217,GROUP_27
BAM_572,SAMPLE_572,2015,POP_217,GROUP_27
BAM_573,SAMPLE_573,2015,POP_217,GROUP_27
BAM_574,SAMPLE_574,2019,POP_218,GROUP_27
BAM_575,SAMPLE_575,2019,POP_218,GROUP_27
BAM_576,SAMPLE_576,2019,POP_218,GROUP_27
BAM_577,SAMPLE_577,2019,POP_218,GROUP_27
BAM_578,SAMPLE_578,2019,POP_218,GROUP_27
BAM_579,SAMPLE_579,2019,POP_218,GROUP_27
BAM_580,SAMPLE_580,2019,POP_218,GROUP_27
BAM_581,SAMPLE_581,2019,POP_218,GROUP_27
BAM_582,SAMPLE_582,2019,POP_219,GROUP_28
BAM_583,SAMPLE_583,2019,POP_219,GROUP_28
BAM_584,SAMPLE_584,2019,POP_219,GROUP_28
BAM_585,SAMPLE_585,2019,POP_219,GROUP_28
BAM_586,SAMPLE_586,2019,POP_219,GROUP_28
BAM_587,SAMPLE_587,2019,POP_219,GROUP_28
BAM_588,SAMPLE_588,2019,POP_219,GROUP_28
