Population,Dose_ppm,N_beetles,Prop_dead,Year,Latitude,Longitude
POP_62,100,18,0.611111111,2015,44.02351,-89.784188
POP_63,100,36,0.583333333,2015,44.62106944,-89.32737778
POP_64,100,36,0.888888889,2015,43.21003333,-90.19736389
POP_65,100,6,0.5,2015,43.173581,-89.990362
POP_66,100,6,0,2015,43.209314,-90.147798
POP_67,100,36,0.388888889,2015,43.174275,-90.00496389
POP_68,100,36,0.916666667,2015,43.16011944,-89.89812222
POP_69,100,36,1,2015,43.317261,-89.334083
POP_70,100,36,0.722222222,2015,44.10796667,-89.79555833
POP_71,100,72,0.652777778,2015,44.10864444,-89.780625
POP_72,100,36,0.361111111,2015,43.82076667,-89.68278333
POP_73,100,54,0.203703704,2015,44.55635278,-89.50217222
POP_74,100,36,0.472222222,2015,44.53981944,-89.49151111
POP_75,100,36,0.472222222,2015,44.06624722,-89.65623333
POP_76,100,36,0.805555556,2015,44.04552222,-89.62331111
POP_77,100,36,0.694444444,2015,44.007276,-89.616076
POP_78,100,29,0.551724138,2015,43.938173,-89.771424
POP_79,100,36,0.75,2015,44.67496944,-89.46148056
POP_80,100,36,0.666666667,2015,44.37016111,-89.61215278
POP_81,100,12,0.5,2015,44.122947,-89.652968
POP_82,100,60,0.283333333,2015,44.13749444,-89.62359167
POP_83,100,12,0.666666667,2015,44.15866,-89.524633
POP_84,100,42,0.547619048,2015,44.15935556,-89.53771944
POP_85,100,36,0.777777778,2015,44.07924722,-89.548275
POP_86,100,18,0.5,2015,43.919667,-89.662781
POP_87,100,36,0.833333333,2015,44.6515,-89.49105833
POP_88,100,24,0.583333333,2015,43.992902,-89.605156
POP_89,100,36,0.722222222,2015,44.18396667,-89.40345833
POP_90,100,18,0.555555556,2015,44.247231,-89.40162
POP_91,100,36,0.333333333,2015,44.62985278,-89.486525
POP_92,100,36,0.5,2015,43.994675,-89.52750278
POP_93,100,30,0.566666667,2015,44.54521667,-89.45138333
POP_94,100,36,0.5,2015,44.00073889,-89.59624167
POP_95,100,36,0.472222222,2015,44.23208333,-89.56628056
POP_96,100,30,0.766666667,2015,43.94499167,-89.78283333
POP_97,100,30,0.466666667,2015,44.20953889,-89.61269444
POP_98,100,36,0.611111111,2015,44.17819444,-89.970525
POP_99,100,36,0.583333333,2015,44.09349722,-90.05241389
POP_100,100,36,1,2015,43.075618,-89.413618
POP_101,100,6,0.666666667,2015,44.39934167,-89.67299167
POP_102,100,36,0.777777778,2015,44.41390278,-89.62209167
POP_103,100,30,0.466666667,2015,44.357225,-89.64988333
POP_104,100,24,0.458333333,2015,44.16775278,-89.45960833
POP_105,100,36,0.388888889,2015,44.2707,-89.47068889
POP_106,100,36,0.694444444,2015,44.29095,-89.54353889
POP_107,100,25,0.6,2015,44.32856667,-89.44026667
POP_108,100,36,0.75,2015,44.34494722,-89.51632778
POP_109,100,42,0.238095238,2015,44.41593056,-89.55331944
POP_110,100,36,0.416666667,2015,43.84516667,-89.78453333
POP_111,100,36,0.444444444,2015,44.43760278,-89.59420278
POP_112,100,36,0.805555556,2015,44.22926111,-89.95079722
POP_113,100,36,0.388888889,2015,44.33007778,-89.93998889
POP_114,100,30,0.533333333,2015,44.087325,-89.50988333
POP_115,100,24,0.25,2015,43.89850833,-89.69366111
POP_116,100,36,0.583333333,2015,44.26498889,-89.64063333
POP_117,100,36,0.277777778,2015,44.25806944,-89.70194722
POP_118,100,36,0.75,2015,44.30208333,-89.73203056
POP_119,100,36,0.194444444,2015,44.22595833,-89.49438611
POP_120,100,12,0.416666667,2015,44.291115,-89.482903
POP_121,100,42,0.69047619,2015,44.52996667,-89.45158056
POP_122,100,8,0.875,2019,43.195128,-90.206602
POP_123,100,3,1,2019,43.209921,-90.207351
POP_69,100,18,1,2019,43.317987,-89.336081
POP_124,100,12,1,2019,44.0428262,-89.6167801
POP_125,100,12,0.666666667,2019,44.000102,-89.603116
POP_126,100,18,0.555555556,2019,43.999934,-89.613199
POP_127,100,24,0.666666667,2019,44.024106,-89.603559
POP_128,100,3,0.666666667,2019,44.030959,-89.57715
POP_129,100,16,0.375,2019,44.027451,-89.612041
POP_130,100,20,0.5,2019,44.01114,-89.587469
POP_131,100,16,0.625,2019,44.18678395,-89.61983491
POP_132,100,2,0.5,2019,44.18041731,-89.62019839
POP_133,100,12,0.583333333,2019,44.17935037,-89.63545568
POP_100,100,26,0.884615385,2019,43.075618,-89.413618
POP_134,100,1,1,2019,44.376423,-89.664231
POP_135,100,12,0.5,2019,44.433824,-89.643259
POP_136,100,17,0.176470588,2019,44.36995,-89.612148
POP_137,100,15,0.266666667,2019,44.437271,-89.570611
POP_138,100,3,0,2019,44.420911,-89.642438
POP_139,100,1,0,2019,44.416229,-89.592241
POP_140,100,7,0.142857143,2019,44.421132,-89.662626
POP_141,100,20,0.7,2019,44.539818,-89.501826
POP_142,100,16,0.5,2019,44.53635,-89.491872
POP_143,100,25,0.32,2019,44.52439,-89.47047
POP_144,100,2,1,2019,44.580377,-89.4414
POP_145,100,5,0.4,2019,44.62972,-89.49415
POP_146,100,4,0.5,2019,44.540334,-89.438785
POP_147,100,25,0.84,2019,44.5454,-89.49184
POP_148,100,11,0.545454545,2019,44.528263,-89.46405
POP_149,100,24,0.791666667,2019,44.565794,-89.44123
POP_150,100,4,0.25,2019,44.272736,-89.711443
POP_151,100,12,0.583333333,2019,44.241401,-89.509815
POP_152,100,8,0.625,2019,44.27351,-89.55668
POP_153,100,3,0.333333333,2019,44.277001,-89.543761
POP_154,100,8,0.875,2019,44.284122,-89.517327
POP_155,100,1,0,2019,44.320808,-89.506422
POP_156,100,1,1,2019,44.328258,-89.513657
POP_157,100,6,0.166666667,2019,44.341225,-89.543771
POP_158,100,11,0.636363636,2019,44.352684,-89.514546
POP_159,100,25,0.36,2019,44.384898,-89.564548
POP_160,100,2,0.5,2019,44.384783,-89.554126
POP_161,100,7,0.428571429,2019,44.406848,-89.554362
POP_162,100,5,0,2023,44.026376,-89.598095
POP_163,100,19,0.105263158,2023,44.33763,-89.5087
POP_164,100,12,0.166666667,2023,44.2179,-89.60337
POP_165,100,76,0.172413793,2023,44.00979,-89.7814
POP_166,100,11,0.272727273,2023,43.21723,-90.16774
POP_65,100,15,0.266666667,2023,43.173581,-89.990362
POP_66,100,12,0,2023,43.209314,-90.147798
POP_167,100,15,0.2,2023,43.174777,-89.956938
POP_123,100,7,0,2023,43.209921,-90.207351
POP_168,100,10,0,2023,43.18574,-90.13119
POP_69,100,17,0.529411765,2023,43.317261,-89.334083
POP_169,100,2,0,2023,44.11368,-89.787
POP_170,100,18,0.555555556,2023,44.554466,-89.496602
POP_171,100,10,0,2023,44.0358511,-89.6193302
POP_172,100,6,0.333333333,2023,44.00073889,-89.59624167
POP_76,100,17,0.294117647,2023,44.0455222,-89.6233111
POP_77,100,17,0.058823529,2023,44.007276,-89.616076
POP_173,100,11,0.363636364,2023,44.2438,-89.51385
POP_174,100,12,0.583333333,2023,44.38452621,-89.65168081
POP_175,100,10,0.4,2023,44.33985,-89.52366
POP_176,100,30,0.233333333,2023,44.53635,-89.491872
POP_177,100,17,0.294117647,2023,43.90818,-89.67714
POP_178,100,19,0,2023,44.441853,-89.652363
POP_179,100,18,0.222222222,2023,44.580377,-89.4414
POP_180,100,10,0,2023,44.067118,-89.582242
